,ID,Section,Gender,State,City,Age (years),Height,Highest_Qualification,Favourite_Subject,Favourite_Colour,Work_Experience,Work_Industry,Hobby,Info_regarding_gim,Workexperience,Top_3_Competitors,Top_3_converts,Experience_Category,Info_0,Info_1,Info_2,Info_3,Info_4,Social_media,Online_search,Advertisement,Coaching,Friends/Family
0,1,PGDM FT Section D,Woman,Rajasthan,Kota,23,165.0,Graduate,Case methods,White,1.8333333333333333,Digital marketing,Writing,Friends/Family;,High,MICA TAPMI,,1-2 years,Friends/Family,,,,,0,0,0,0,1
1,2,PGDM FT Section D,Man,Punjab,Nangal,23,178.0,B.Com.LL.B,Business laws,Black,0.0,,Basketball,Social media;,Growth,"Tapmi, IMT, IMI","Kjsom, Tapmi, IMT",0 years,Social media,,,,,1,0,0,0,0
2,3,PGDM FT Section D,Man,Rajasthan,Jaipur,22,161.0,BBA,Marketing,Red,0.0,,Basketball,Advertisement;,Get industrial learning and make a career in the field of marketing,"TAPMI, GLIM, IMI","NMIMS bangalore, GLIM gurugram, ",0 years,Advertisement,,,,,0,0,1,0,0
3,4,PGDM FT Section D,Woman,Uttar Pradesh,Lucknow,26,167.0,Graduate,Mathematics,Purple,4.0,Hospitality,Walkinh,Advertisement;Online search;,Growth,"TAPMI, IMI, FORE","GIM, NMIMS, SIBM",2-5 years,Advertisement,Online_search,,,,0,1,1,0,0
4,5,PGDM FT Section D,Man,Kerala,Kottayam,24,180.0,MSc,Logics,Black,0.0,,Badminton,Friends/Family;Online search;,Good placements,"Great lakes, IMT, TAPMI","IMT, NMIMS",0 years,Friends/Family,Online_search,,,,0,1,0,0,1
5,6,PGDM FT Section D,Man,Maharashtra,Aurangabad (Chh. Sambhajinagar),22,161.0,BTech in Mechanical Engineering,Maths,Black,0.0,,Playing cricket and music instruments,Social media;,Be a better version of mine. Grab as knowledge as I can. Decent placement.,"BITsOM, NMIMS, GLIM","GIM Goa, Kj Somaiya, IMI Delhi",0 years,Social media,,,,,1,0,0,0,0
6,7,PGDM FT Section B,Man,Madhya Pradesh,Indore,21,5.11,Bcom (Hons),Finance,Yellow,0.0,,Goalkeeper,Social media;,Learning,IMI,SIBM Banglore,0 years,Social media,,,,,1,0,0,0,0
7,8,PGDM FT Section D,Man,Delhi,New Delhi,24,5.1,Bachelors of Business Administration,Marketing,Black,3.0,Public Sector Advisory,Cycling,Online search;Advertisement;Friends/Family;,Growth,"IMI, GLIM C, TAPMI","GLIM C, SIIB Pune, SIBM B",2-5 years,Online_search,Advertisement,Friends/Family,,,0,1,1,0,1
8,9,PGDM FT Section D,Woman,Delhi,Delhi,24,171.0,Bachelors,English,Blue,0.0,,Reading Books,Coaching ;,Knowledge,"Sp jain, nmims, iims",Pgdm core,0 years,Coaching,,,,,0,0,0,1,0
9,10,PGDM FT Section D,Man,Gujarat,Ahmedabad,24,169.0,BBA,Accounts,Black,6.0,Financial Services,Cricket,Friends/Family;,Networking,"TAPMI, Great Lakes, IMI",IMI,5-7 years,Friends/Family,,,,,0,0,0,0,1
10,11,PGDM FT Section D,Man,Maharashtra,Ahmednagar,22,182.0,BBA,Financial Management,Saffron,1.0,AI,chess,Social media;,Placement,"IMI Delhi, FORE Delhi, NIBM",,1-2 years,Social media,,,,,1,0,0,0,0
11,12,PGDM FT Section D,Man,Uttarakhand,Dehradun,21,177.0,BBA,Investment Management,Lavender,0.0,,Event Management,Online search;Friends/Family;,Growth,"IMI Delhi, Great Lakes Chennai, TAPMI","IMI Delhi, Great Lakes Chennai",0 years,Online_search,Friends/Family,,,,0,1,0,0,1
12,13,PGDM FT Section E,Man,Madhya Pradesh,Indore,23,5.7,Bachelors,Business Studies,Black,0.0,,Sketching,Online search;Social media;,Happy,"Imt, imi, Glim",,0 years,Online_search,Social media,,,,1,1,0,0,0
13,14,PGDM FT Section E,Woman,Karnataka,Bengaluru,23,158.0,Bachelors Degree,Accountancy,Pink,0.0,Audit and Tax,Public Speaking,Friends/Family;Social media;,Contentment,"TAPMI, IMI, KJ SOMAIYA",TAPMI,0 years,Friends/Family,Social media,,,,1,0,0,0,1
14,15,PGDM FT Section E,Woman,Karnataka,Bangalore,21,160.0,Bachelor of Arts,Marketing,Pink,0.0,,Painting,Online search;,Learn,"GLIM, SIBM, new IIMs","GLIM, SIBM ",0 years,Online_search,,,,,0,1,0,0,0
15,16,PGDM FT Section E,Man,Gujarat,Ahmedabad,23,175.0,"B.Com(Hons.), CFA Level 1",Finance,Black,0.0,,Driving,Friends/Family;,Growth,TAPMI FORE NIRMA,Core,0 years,Friends/Family,,,,,0,0,0,0,1
16,17,PGDM FT Section E,Man,Gujarat,Vadodara,21,178.0,Undergraduate,Marketing and HR,Blue,0.0,,Traveling,,Growth,"IMT Ghaziabad, IMI Delhi, Great Lakes",Great Lakes,0 years,,,,,,0,0,0,0,0
17,18,PGDM FT Section E,Man,Gujarat,Vadodara,24,183.0,Bachelor of mechanical engineering,Maths,Red,8.0,BIFS,Playing cricket,Online search;,To learn more about finance,IMT Gaziabad,,7-10 years,Online_search,,,,,0,1,0,0,0
18,19,PGDM FT Section E,Man,Punjab,Bathinda,21,169.0,BBA,Accounting,Blue,0.0,,Trying new foods,Friends/Family;,Growth,"IMI, TAPMI, IMT",,0 years,Friends/Family,,,,,0,0,0,0,1
19,20,PGDM FT Section E,Man,Himachal Pradesh,Solan,23,169.0,B.Tech,Financial Management,Black,0.0,,Playing Cricket,Friends/Family;Advertisement;,Placement,"IMI , FORE, TAPMI","IMI, FORE",0 years,Friends/Family,Advertisement,,,,0,0,1,0,1
20,21,PGDM FT Section E,Man,West Bengal,Kolkata,27,173.0,Bachelors in Technology,Mathematics,Green,4.5,Edtech,Watching F1,Friends/Family;Social media;Online search;,Grow,"IMT GHAZIABAD, IMI DELHI, TAPMI","IMI DELHI, IMT GHAZIABAD",2-5 years,Friends/Family,Social media,Online_search,,,1,1,0,0,1
21,22,PGDM FT Section E,Man,Telangana,Hyderabad,21,162.0,BBA,Marketing,Blue,0.0,,Watching cricket,Online search;,Transformation,"IMTG , GLIM, IMID",GIM,0 years,Online_search,,,,,0,1,0,0,0
22,23,PGDM FT Section E,Woman,Karnataka,Bangalore,21,5.2,BBA,Statistics,Lilac,0.9166666666666666,Engineering products,Photography,Online search;,Exploration,"TAPMI, GLIM, IMI","TAPMI, GLIM",1-2 years,Online_search,,,,,0,1,0,0,0
23,24,PGDM FT Section E,Man,Gujarat,Vadodara,21,165.0,Undergraduate,Marketing,Black,0.0,,Volleyball,Online search;,Network,"Great lakes, IMI, TAPMI","Great lakes, ",0 years,Online_search,,,,,0,1,0,0,0
24,25,PGDM FT Section E,Woman,Uttar Pradesh,Lucknow,22,163.0,Under graduation,Communications,Black,0.0,,Fragrances,Social media;Advertisement;Friends/Family;,Development,"IMT Ghaziabad, MICA , XIMB",,0 years,Social media,Advertisement,Friends/Family,,,1,0,1,0,1
25,26,PGDM FT Section E,Man,West Bengal,Kolkata,25,174.0,Graduation,Financial Management,"Pink, Black",0.0,,"Reading books, playing cricket, badminton",Social media;,Time-management,"IMT-G, IMI-D, IIM Kashipur",,0 years,Social media,,,,,1,0,0,0,0
26,27,PGDM FT Section E,Man,Goa,Verna,21,6.0,BA,Economics,Blue,0.0,,Playing football,Friends/Family;Online search;,Development,"IMI, TAPMI, MDI",,0 years,Friends/Family,Online_search,,,,0,1,0,0,1
27,28,PGDM FT Section E,Woman,Maharashtra,Mumbai,21,160.0,Undergraduation,English,Black,0.0,Fresher,Badminton,Social media;,Learning,"Great Lakes, IMI, Tapmi ",,0 years,Social media,,,,,1,0,0,0,0
28,29,PGDM FT Section E,Woman,Chhattisgarh,Bilaspur,20,155.0,Undergraduate Degree,Accounting,Black,0.0,,Reading,Friends/Family;,Growth,"XIMB, TAPMI, MICA",,0 years,Friends/Family,,,,,0,0,0,0,1
29,30,PGDM FT Section E,Woman,Delhi,New Delhi,22,162.0,Bachelor's,OB,Blue,1.1666666666666667,Consulting,Volunteering,Friends/Family;Online search;,Growth,"IMT, XIMB, IMI","TAPMI, NMIMS-B, FORE",1-2 years,Friends/Family,Online_search,,,,0,1,0,0,1
30,31,PGDM FT Section E,Woman,Uttar Pradesh,Agra,22,156.0,Bachelor's in Commerce,Economics,Parrot Green,0.0,,Doing Mandala art,Social media;Advertisement;,Self- development,"GLIM CHENNAI, IMI DELHI , FORE DELHI ","Nmims Mumbai(business analytics),Fore Delhi, LBSI",0 years,Social media,Advertisement,,,,1,0,1,0,0
31,32,PGDM FT Section E,Woman,Gujarat,Vadodara,25,168.0,B Tech,Maths,White,3.0,Software Engineering,Reading,Online search;Friends/Family;,To see a transformation in my personality and networking.,"IMI Delhi, NMIMS, SCMHRD","SCMHRD, NMIMS, IMI Delhi",2-5 years,Online_search,Friends/Family,,,,0,1,0,0,1
32,33,PGDM FT Section E,Man,Delhi,New Delhi,26,167.0,Bachelors in Architecture,Drawing,Turquoise Blue,2.25,Development Consortium,Sketching,Friends/Family;Online search;,Getting a Placement,"IMT(Ghaziabad), GLIM(Chennai), IMI Delhi","GLIM, IMI, IRMA",2-5 years,Friends/Family,Online_search,,,,0,1,0,0,1
33,34,PGDM FT Section E,Man,Gujarat,Vapi,21,164.0,B.Sc,Culinary Arts,Blue,0.0,,Cooking,Friends/Family;,Learning,"XIMB, IMI New Delhi, Great lakes Chennai ","XIMB , IMI , KJ Somaiya",0 years,Friends/Family,,,,,0,0,0,0,1
34,35,PGDM FT Section E,Man,Uttar Pradesh,Meerut,26,184.0,BSC in Hospitality and Hotel Administration,English,Blue,4.0,Hospitality Industry,Listening to music,Friends/Family;,Management,"IMT Ghaziabad, IMI Delhi , GLIM Chennai ","KJ somaiya, IMT, SIDTM",2-5 years,Friends/Family,,,,,0,0,0,0,1
35,36,PGDM FT Section E,Man,Maharashtra,Mumbai,22,178.0,Bcom,Accounts,Black,0.0,,Scuba Diving,Classes;,Growth,"Imi dehli, tapmi, fore",Converted only GIM,0 years,Coaching,,,,,0,0,0,1,0
36,37,PGDM FT Section E,Woman,Andhra Pradhesh,Tirupati,21,162.0,BTech,Maths,Pastel colours,0.0,,Dancing,,Exposure and building confidence which I didnÕt get a chance to do before.,"IIM bangalore, Great lakes, ISB",,0 years,,,,,,0,0,0,0,0
37,38,PGDM FT Section E,Woman,Jharkhand,Dhanbad,22,158.0,UG,HR,Pink,0.0,,Sketching,,Knowledge and exploring,"IMI,GLIM,XIMB",,0 years,,,,,,0,0,0,0,0
38,39,PGDM FT Section E,Man,Gujarat,Vadodara,25,165.0,Bachelor of Technology,Marketing,White,3.4166666666666665,Manufacturing & Construction,Reading books,Online search;,Placement,"IMI New Delhi, IMTG, Great Lakes","Great Lakes, Tapmi, Jio",2-5 years,Online_search,,,,,0,1,0,0,0
39,40,PGDM FT Section E,Woman,Maharashtra,Mumbai,24,162.0,BCOM,Economics,Blue,0.0,,Singing,Online search;,Career development,BDA BIFS,,0 years,Online_search,,,,,0,1,0,0,0
40,41,PGDM FT Section D,Woman,Maharashtra,Pune,26,148.0,Computer Engineering,Mathematics,Black,3.5,Computer,Trekking,,Transformation,"Imt g, imi, glim",,2-5 years,,,,,,0,0,0,0,0
41,42,PGDM FT Section D,Woman,Madhya Pradesh,Indore,24,161.0,B.Tech,Mathematics,Blue,2.0,IT Sector,Playing Basketball,Friends/Family;,Development,"SP Jain, IIM Shillong , IIM Udaipur","KJ Somiya , IMT Hyderabad ",1-2 years,Friends/Family,,,,,0,0,0,0,1
42,43,PGDM FT Section D,Man,Madhya Pradesh,Indore,25,174.0,Undergraduation,Mathematics,Blue,1.75,Retail,Badminton,Social media;Friends/Family;Advertisement;,Learning,"IMI Delhi, TAPMI Manipal, Great Lakes","IMI Delhi, TAPMI Manipal",1-2 years,Social media,Friends/Family,Advertisement,,,1,0,1,0,1
43,44,PGDM HCM,Woman,Tamil nadu,Chennai,29,170.0,MBBS,Medicine,Lavender,1.0,Hospital,Reading books,Friends/Family;,Placement,"Glimp, nmims, symbiosis",,1-2 years,Friends/Family,,,,,0,0,0,0,1
44,45,PGDM HCM,Man,Bihar,Sheohar,24,178.0,Graduation ba in tourism management,Medical tourism,Black,0.0,,Biking,Friends/Family;,Adventurous,"IIM Jammu , kj somaya","Lbsim,fore,welingkar",0 years,Friends/Family,,,,,0,0,0,0,1
45,46,PGDM HCM,Woman,Maharashtra,Mumbai,24,157.0,Graduate,Psychology,Lavender,2.5,"Healthcare (US, Veterinary, Mental Health Startup)",Binging on serial killer documentaries,Online search;,Placement,,,2-5 years,Online_search,,,,,0,1,0,0,0
46,47,PGDM HCM,Man,Bihar,Gaya,27,6.0,B.Tech,Maths,Blue,5.0,IT,Playing Cricket,,Adventurous,"IIM A,B,C",,2-5 years,,,,,,0,0,0,0,0
47,48,PGDM HCM,Woman,Rajasthan,Ajmer,24,162.0,Undergrad,BIOLOGY,Black,0.0,,Singing,Friends/Family;,Learning,"Tapmi, great lakes, fore",Fore,0 years,Friends/Family,,,,,0,0,0,0,1
48,49,PGDM HCM,Man,Rajasthan,Ajmer,24,6.0,B.pharma,Maths,Black,1.3333333333333333,Pharma,F1,Friends/Family;,Development,"IIM Jammu, KJ somaya, Wellinker",,1-2 years,Friends/Family,,,,,0,0,0,0,1
